geometry,site_name,other_site_names,state,industry,matrix_type,matrix,year,pfoa,pfos,pfoa_pfos,total_pfas,pfas_level,notes,regulation_gvt_link,resources_link,suspected_source_link,pfas_testing_link,site_ref_link,state_ref_link,ObjectId,longitude,latitude
POINT (-83.673 42.981),Hemphill Road Industrial Land - RACER,,Michigan,Waste,Groundwater,Groundwater,2020.0,19,54,,,54.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-hemphill-road-industrial-land,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-hemphill-road-industrial-land,https://drive.google.com/file/d/1Ew4-4kZdq3knO28B5olOs2SQgH9_Mw2i/view?usp=share_link,https://drive.google.com/drive/folders/1nWQCM8Nqcj1cLU5EA1acGWvxfILJPY-4?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1159,-83.673,42.981
POINT (-83.592182 42.650134),Hi-Mill Manufacturing Superfund Site,,Michigan,Superfund Site,Groundwater,Groundwater,2019.0,11,,,32.0,32.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/hi-mill-manufacturing-superfund-site ,https://drive.google.com/file/d/1xnKKo8VlfC2gBozL9aZmniMz7FNBUoC4/view?usp=share_link,https://drive.google.com/file/d/1xnKKo8VlfC2gBozL9aZmniMz7FNBUoC4/view?usp=share_link,https://drive.google.com/drive/folders/14S_RU1PS74PBxhS0ES9kXHiXUdUcrM4R?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1160,-83.592182,42.650134
POINT (-88.494 47.169),https://www.michigan.gov/pfasresponse/investigations/sites-aoi/houghton-county/houghton-county-memorial-airport ,,Michigan,Airport,Groundwater,Groundwater,2021.0,490,50900,51390,52719.0,52719.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/houghton-county/houghton-county-memorial-airport,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/houghton-county/houghton-county-memorial-airport,https://drive.google.com/file/d/1Pq6KCxnS5v7t7lkLGeibt1_n-FjMd9KQ/view?usp=share_link,https://drive.google.com/drive/folders/1lAHmTx6sfkTcMLPN3XR5kxGiWxMtUBMK?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1161,-88.494,47.169
POINT (-85.560399 42.343008),Hydro Extrusion USA,,Michigan,Industry,Groundwater,Groundwater,2022.0,330,550,880,1166.0,1166.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/hydro-extrusion-usa,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/hydro-extrusion-usa,https://drive.google.com/file/d/1V75zDNgTT1Hqh3kq9e58_W6HK80Arcg1/view?usp=share_link,https://drive.google.com/drive/folders/1fjUTNo6O1oeLd9mFSTFI6G8f9JnHW9oe?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1162,-85.560399,42.343008
POINT (-86.234841 43.070226),J.B. Sims Generating Station,,Michigan,Other,Groundwater,Groundwater,2022.0,135,283,408,719.0,719.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ottawa-county/jb-sims-generating-station ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ottawa-county/jb-sims-generating-station,https://drive.google.com/file/d/1PkCfa5RqtTxfrgAO7B3P1iPqLKhubdou/view?usp=share_link,https://drive.google.com/drive/folders/11Lw6aNpdh8t688heILngOOdSdcPZFHkA?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1163,-86.234841,43.070226
POINT (-85.552 42.235),Kalamazoo/Battle Creek International Airport,,Michigan,Airport,Groundwater,Groundwater,2021.0,,1940,,,1940.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/kalamazoo-battle-creek-international-airport,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/kalamazoo-battle-creek-international-airport,https://drive.google.com/file/d/1UMr3VmIC9PKnMlnp1kjLyFn5j1yu63Tu/view?usp=share_link,https://drive.google.com/drive/folders/1fjUTNo6O1oeLd9mFSTFI6G8f9JnHW9oe?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1164,-85.552,42.235
POINT (-85.536761 42.438639),Kavco Landfill,,Michigan,Landfill,Groundwater,Groundwater,2022.0,471,27,,,471.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/barry-county/kavco-landfill,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/barry-county/kavco-landfill,https://drive.google.com/file/d/18Tta0682ACCAAsLIlnB69U3fvRCV42jw/view?usp=share_link,https://drive.google.com/drive/folders/1hmzPCfuMy7V_eXzGnVvkZIIltweizob8?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1165,-85.536761,42.438639
POINT (-84.559868 42.702),Kent Cleaners,,Michigan,Dry Cleaner,Groundwater,Groundwater,2022.0,19,,,,19.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/kent-cleaners,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/kent-cleaners,https://drive.google.com/file/d/1StpZdlEEzu3efcjZu_cdx0GYPaOiiihW/view?usp=share_link,https://drive.google.com/drive/folders/1RVmIMJfTXdFslkTf6483GdlSYoYxZN_a?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1166,-84.559868,42.702
POINT (-85.411159 44.892474),Key II Industrial Building,,Michigan,Industry,Groundwater,Groundwater,2020.0,26,160,186,197.0,197.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/antrim-county/key-ii-industrial-building,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/antrim-county/key-ii-industrial-building,https://drive.google.com/file/d/1YYX7XmchPA37mGICVqlp7joiMnxm6sq_/view?usp=share_link,https://drive.google.com/drive/folders/1zKY5FQOUO0zSK9-nt6JZypi1La-DIVPf?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1167,-85.411159,44.892474
POINT (-84.949393 43.958976),Kleen Gene's Laundromat,,Michigan,Dry Cleaner,Groundwater,Groundwater,2021.0,43,,,,43.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clare-county/kleen-genes-laundromat ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clare-county/kleen-genes-laundromat,https://drive.google.com/file/d/1YdI4l1oGjpVCJtPmxmNY7ls5N6h_-j_l/view?usp=share_link,https://drive.google.com/drive/folders/1vJLcnhvRMjhQIdB1N6wc8LZ-LNIFkiaH?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1168,-84.949393,43.958976
POINT (-85.936451 43.485638),Kunnen's Landfill,,Michigan,Landfill,Groundwater,Groundwater,2021.0,94,19,,,94.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/newaygo-county/kunnens-landfill,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/newaygo-county/kunnens-landfill,https://drive.google.com/file/d/1G-seFV7f8WEYLyjGmkFeHid4xNkstIMa/view?usp=share_link,https://drive.google.com/drive/folders/1MgeYzllQzlG17BIwROIVbEp5l3OYVTjZ?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1169,-85.936451,43.485638
POINT (-85.574831 42.886618),Lacks Industries - Airlane,,Michigan,Industry,Groundwater,Groundwater,2021.0,13,4000,,,4000.0,N/A,N/A,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-airlane,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-airlane,https://drive.google.com/file/d/1MkY1hEVVaiwBwRVxYGPP_jl9n17ubtCj/view?usp=share_link,https://drive.google.com/drive/folders/1wVz7YGLOgltN0RGWwXHnOogqSit1mcI7?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link,1170,-85.574831,42.886618
