geometry,site_name,other_site_names,state,industry,matrix_type,matrix,year,pfoa,pfos,pfoa_pfos,total_pfas,pfas_level,notes,regulation_gvt_link,resources_link,suspected_source_link,pfas_testing_link,site_ref_link,state_ref_link,ObjectId,longitude,latitude
POINT (-71.2897548 42.4784181),Bedford Naval Weapons Industrial Reserve Plant,,Massachusetts,Military,Groundwater,Groundwater,2017.0,,,167,,167.0,AFFF used Bedford Naval Weapons Industrial Reserve Plant,N/A,https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas,https://partner-mco-archive.s3.amazonaws.com/client_files/1524589484.pdf,N/A,https://drive.google.com/drive/u/1/folders/10RBDL0T_AipxmnoBDCkSZMw8HqyrtzwD,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,108,-71.2897548,42.4784181
POINT (-70.9426354 42.1493867),Naval Air Station South Weymouth,,Massachusetts,Military,Groundwater,Groundwater,2018.0,2400,3400,4140,12541.0,12541.0,AFFF used at Naval Air Station South Weymouth,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.Healthenv&id=0101826,https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas,https://www.navfac.navy.mil/products_and_services/ev/products_and_services/env_restoration/pfas_reading_room.html,N/A,https://drive.google.com/drive/u/1/folders/1MK8yT90HSiM7GQ2H6qniWIzSAiG-3Y2u,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,109,-70.9426354,42.1493867
POINT (-71.2766852 42.457231),Hanscom Air Force Base,,Massachusetts,Military,Groundwater,Groundwater,2018.0,11000,44000,44360,44900.0,44900.0,AFFF used at Hanscom Air Force Base,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.cleanup&id=0100967,"http://afcec.publicadmin-record.us.af.mil

https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas",N/A,https://drive.google.com/file/d/1UK6_28VZ7uMH9bIHO49-2VKSBl4KKj0h/view?usp=sharing,https://drive.google.com/drive/u/0/folders/1_HKf_uJ37xnLDvCCPrEWgfMJy4X325Sf,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,110,-71.2766852,42.457231
POINT (-72.5436258 42.1991163),Westover Air Reserve Base,,Massachusetts,Military,Groundwater,Groundwater,2018.0,270000,140000,301000,313000.0,313000.0,AFFF used at Westover Air Reserve Base,N/A,"http://afcec.publicadmin-record.us.af.mil

https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas",N/A,https://drive.google.com/file/d/1CA8zd1dvmIR0TWOxJ7K3hoTw-FN57Y6s/view?usp=sharing,https://drive.google.com/drive/u/0/folders/1ijbOsBd7YL2BpF8p-Aebt2gGvv5hREzB,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,111,-72.5436258,42.1991163
POINT (-70.6122055 41.3892707),Martha's Vineyard Airport,,Massachusetts,Airport,Groundwater,Groundwater,2018.0,1760,219,,4896.0,4896.0,AFFF used at Martha's Vineyard Airport,N/A,https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas,https://www.mvtimes.com/2018/12/03/airport-hold-briefing-water-contamination/,N/A,https://drive.google.com/drive/u/1/folders/1ZSnfCjEVgjSoquBvZp4VC9YJmXxpWJHm,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,112,-70.6122055,41.3892707
POINT (-71.4956103 42.3854321),Precision Coating Facility in Hudson,,Massachusetts,Industry,Other Water,Drinking Water,2019.0,59,10,,,59.0,Chemicals used at Precision Coating Company Facility ,N/A,https://www.mass.gov/info-details/per-and-polyfluoroalkyl-substances-pfas,https://www.mass.gov/doc/map-of-public-drinking-water-supplies-tested-for-pfas-chemicals/download,N/A,https://drive.google.com/drive/u/0/folders/1_hXV7dfES_aLST9BipHKOund3fj4vmVV,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,113,-71.4956103,42.3854321
POINT (-83.7034149 43.0899978),Coldwater Road Landfill,,Michigan,Landfill,Groundwater,Groundwater,2016.0,,,70,,70.0,Leachate from PFAS-contaiing waste dumped in the landfill,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452819--,00.html",https://www.michigan.gov/pfasresponse/,https://theintercept.com/2016/02/17/flint-residents-may-have-been-drinking-pfcs-in-addition-to-lead/ ,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452819--,00.html",https://drive.google.com/drive/u/0/folders/1Agice1xvvNs0t7pbRC3gmFR46sSAiR3y,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,114,-83.7034149,43.0899978
POINT (-83.688615 43.041871),RACER Buick City Site,,Michigan,Industry,Groundwater,Groundwater,2018.0,,38000,,,38000.0,"In April 2018, groundwater sampling at GM's former Buick City factory showed elevated PFAS levels in nearby groundwater, and the site is currently being investigated as a potential source of PFASs in the Flint River. ","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-477319--,00.html#:~:text=This%20site%20is%20located%20at,11%20bankruptcy%20protection%20in%202011.",https://www.michigan.gov/pfasresponse/,https://www.mlive.com/news/flint/2018/11/post_526.html,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-477319--,00.html#:~:text=This%20site%20is%20located%20at,11%20bankruptcy%20protection%20in%202011.",https://drive.google.com/drive/u/1/folders/1Swh7b-mYNqrcih0w9KcOFLnL7dMr2PUA,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,115,-83.688615,43.041871
POINT (-83.38028 44.452499),Former Wurtsmith Air Force Base,Oscoda-Wurtsmith Airport,Michigan,Military,Groundwater,Groundwater,2017.0,,,810000,,810000.0,AFFF used at former Wurtsmith Air Force Base (WAFB) ,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_83952---,00.html",https://www.michigan.gov/pfasresponse/,https://www.nationofchange.org/2018/04/13/fear-and-fury-in-michigan-town-where-air-force-contaminated-water/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_83952---,00.html",https://drive.google.com/drive/u/1/folders/1CYkfCgh7eFTGDJczhLhB85cRIXNanoOQ,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,116,-83.38028,44.452499
POINT (-84.7755889 44.6297531),Camp Grayling Joint Maneuver Training Center,,Michigan,Military,Groundwater,Groundwater,2017.0,,,2650,,2650.0,AFFF used at Camp Grayling Army Airfield/Joint Maneuver Training Center ,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_84187---,00.html",https://www.michigan.gov/pfasresponse/,http://www.mlive.com/news/index.ssf/2017/05/deq_camp_grayling_pfos_pfoa.html ,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_84187---,00.html",https://drive.google.com/drive/u/1/folders/1D-Vrphg-gT3y8D84X6DiNj_AM9sIwLUe,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,117,-84.7755889,44.6297531
POINT (-85.560846 43.122185),Wolverine Worldwide Rockford Tannery,Wolverine Plating,Michigan,Industry,Groundwater,Groundwater,2017.0,,,490000,532399.0,532399.0,N/A,https://www.epa.gov/mi/wolverine-world-wide-tannery,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-488796--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-488796--,00.html",https://drive.google.com/drive/u/1/folders/16k9q_GfKDxIlkLwYq5hYoOsOeFXo_I51,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,118,-85.560846,43.122185
POINT (-85.619421 43.107618),Wolverine House Street Disposal Area,,Michigan,Industry,Other Water,Drinking Water,,,,96000,,96000.0,"The Belmont-House Street area consists of a former licensed disposal facility owned and operated by Wolverine World Wide (Wolverine) at 1855 House Street in Plainfield Township, a suspected disposal area in the Wolven/Jewell area north of 10 Mile Road in Algoma Township, and Michigan Department of Environment, Great Lakes, and Energy (EGLE) investigations into several citizen-reported unregulated dump sites across three townships in northern Kent County. (MPART 6.6.2019)",https://www.epa.gov/newsreleases/wolverine-world-wide-inc-begins-cleanup-wolverine-tannery-and-house-street-disposal,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_83030---,00.html",N/A,https://drive.google.com/drive/u/0/folders/1bCB00C5QRmJ1UBoPscCVzgGsAsNKumft,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,119,-85.619421,43.107618
POINT (-85.587483 43.034434),State Disposal Superfund,,Michigan,Landfill,Groundwater,Groundwater,2019.0,,,1110,2652.0,2652.0,"This site was a licensed waste disposal facility from 1966 to 1976. This is a State-led Superfund site. The study area is approximately 800 acres of wooded, agricultural, and residential properties. Waste Management of Michigan Inc., (WMMI) is the liable party for this site. 
(MPART, 4.21.20 - State Disposal Superfund Site)","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-452840--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452840--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-452840--,00.html",https://drive.google.com/drive/u/1/folders/1so5glyE-Ys0qYPTFCaihfsepvLNT1fgc,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,120,-85.587483,43.034434
POINT (-83.5703646 45.0773997),Alpena Combat Readiness Training Center (CRTC),Alpena County Regional Airport,Michigan,Military,Groundwater,Groundwater,2017.0,15000,67000,82000,,82000.0,AFFF used at the Alpena Combat Readiness Training Center (CRTC),"https://www.michigan.gov/pfasresponse/0,9038,7-365-86513_96296-525356--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_84544---,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_84544---,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_84544---,00.html",https://drive.google.com/drive/u/0/folders/1rh7BCnmHXqyKXKW8PFw8Sw6kCJza1p9X,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,121,-83.5703646,45.0773997
POINT (-83.4359278 45.073899),Alpena Hide and Leather Co.,,Michigan,Industry,Groundwater,Groundwater,2020.0,,,70,,70.0,Tannery waste/emissions from Alpena Hide & Leather Co. (MPART 6.6.19),"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452810--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452810--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452810--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452810--,00.html",https://drive.google.com/drive/u/1/folders/1hVvbjcFo-EHGwmMpJZSnANY_0qqxFiv6,https://drive.google.com/drive/u/1/folders/1VgdMu6_x_kxf36q2eAIhAEnCpniomQ1Y,122,-83.4359278,45.073899
POINT (-83.529841 42.499997),Adept Plastic Finishing Inc. Factory,Tribar - Plant 5/6,Michigan,Industry,Groundwater,Groundwater,2018.0,,28000,,,28000.0,Adept Plastic Finishing Inc. factory ,N/A,https://www.michigan.gov/pfasresponse/,https://www.mlive.com/news/index.ssf/2018/09/pfas_michigan_wixom_contaminat.html,N/A,https://drive.google.com/drive/u/0/folders/11Y5aGbpkJLfCizHEPDtigcl0sj9Opjfc,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,123,-83.529841,42.499997
POINT (-87.0576519 45.7917359),Escanaba Defense Fuel Supply Point,,Michigan,Military,Groundwater,Groundwater,2018.0,189,11100,,,11100.0,AFFF used at Escanaba Defense Fuel Supply Point,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452817--,00.html",https://www.michigan.gov/pfasresponse/,"http://www.michigan.gov/som/0,4669,7-192-45414_45929_82704-452817--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452817--,00.html",https://drive.google.com/drive/u/0/folders/1IP9GuvDL7hQ1tbIxH49hnG1_N71AqMbr,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,124,-87.0576519,45.7917359
POINT (-87.3878601 46.3423176),KI Sawyer Air Force Base,,Michigan,Military,Groundwater,Groundwater,2015.0,,,58210,176910.0,176910.0,"Two fire training areas and three plane crash sites where AFFF was used, two land fills, and undeveloped areas where WWTP sludges were land-applied ","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452822--,00.html",https://www.michigan.gov/pfasresponse/,"http://www.michigan.gov/som/0,4669,7-192-45414_45929_82704-452822--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452822--,00.html",https://drive.google.com/drive/u/0/folders/183SOtC3Gnnal77aknjvWIH6Ete5vIkHZ,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,125,-87.3878601,46.3423176
POINT (-83.3099242 43.0380592),Lapeer Plating & Plastics,,Michigan,Industry,Other Water,Wastewater,2017.0,,19000,,,19000.0,Lapeer Plating & Plastics facility and the Lapeer Wastewater Treatment Plant (Lapeer WWTP),"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452827--,00.html",https://www.michigan.gov/pfasresponse/,"http://www.michigan.gov/som/0,4669,7-192-45414_45929_82704-452827--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452827--,00.html",https://drive.google.com/drive/u/0/folders/1jXThUmWBt8EYvhOol-VeUjDLS8xaC9Yr,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,126,-83.3099242,43.0380592
POINT (-82.8230262 42.630448),Selfridge Air National Guard Base,,Michigan,Military,Groundwater,Groundwater,2017.0,5500,17000,22500,32160.0,32160.0,AFFF used at Selfridge Air National Gaurd Base,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-482359--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95792_95797-510274--,00.html",https://drive.google.com/file/d/1pMVSWAlMcvGwcen65Kr-zpygWvLDXhhP/view?usp=sharing,https://drive.google.com/drive/u/0/folders/1UBZEuElSBSIdyCQ56JK0NbwM3k2f9Uka,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,127,-82.8230262,42.630448
POINT (-84.7833583 43.6119482),Roosevelt Refinery,,Michigan,Industry,Groundwater,Groundwater,2017.0,,,1370,,1370.0,AFFF used/stored at Roosevelt Refinery,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-452832--,00.html",https://www.michigan.gov/pfasresponse/,"http://www.michigan.gov/som/0,4669,7-192-45414_45929_82704-452832--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-452832--,00.html",https://drive.google.com/drive/u/0/folders/1OX8U-ls3YJc4hh3KTrv7f5-u9dG4IHKz,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,128,-84.7833583,43.6119482
POINT (-85.5296043 42.884505),Gerald R. Ford International Airport,,Michigan,Airport,Groundwater,Groundwater,2018.0,103,870,973,3364.0,3364.0,"AFFF used for training exercises at Gerald Ford International Airport during the 70s-90s
https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-487698--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-487698--,00.html",https://www.michigan.gov/pfasresponse/,http://www.woodtv.com/news/target-8/pfas-foam-used-at-ford-airport-uphill-from-homes/1085854590,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-487698--,00.html",https://drive.google.com/drive/u/0/folders/1bHWMRfj0nGBbUZfAOUEhyMOlH8N-u-2y,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,129,-85.5296043,42.884505
POINT (-85.4394542 42.3760708),Production Plated Plastics,North 34th Street,Michigan,Industry,Other Water,Wastewater,2018.0,,8000,,,8000.0,"Of the facilities sampled by Fleis & Vanderbrink, Kalamazoo found 10 sites were discharging PFOA and 20 sites were discharging PFOS into the city's wastewater system. The primary contributor is former Production Plated Plastics, owned by the state since 1989.","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-473485--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-473485--,00.html",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/Kalamazoo-County/north-34th-street,https://drive.google.com/drive/u/0/folders/1RuVos8sV1DFx6ZiB-kWGjGAgYFIZB93V,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,130,-85.4394542,42.3760708
POINT (-85.5940074 42.1845182),Former Portage City Landfill,Portage Fire Training Facility,Michigan,Landfill,Groundwater,Groundwater,2019.0,,,7190,,7190.0,AFFF used at fire training facility; disposal of PFAS-contaminated waste in landfill,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-517163--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-517163--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-517163--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-517163--,00.html",https://drive.google.com/drive/u/0/folders/1QZiaxrQ7XFVzjhJ669aKD00RdyDq96Xo,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,131,-85.5940074,42.1845182
POINT (-85.5749446 42.3345919),Former Crown Vantage Papermill & Landfill,Crown Vantage Property,Michigan,Industry,Groundwater,Groundwater,,,,25730,31780.0,31780.0,"The Crown Vantage Property encompasses a former Type II and III landfill historically utilized for disposal of papermaking waste, a historic wastewater treatment plant, former settling lagoons, and the former mill property","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-479889--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-479889--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-479889--,00.html",N/A,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,132,-85.5749446,42.3345919
POINT (-85.6798249 44.6625951),Former Carl's Retreading Company facility,,Michigan,Industry,Groundwater,Groundwater,2018.0,60,260,,,260.0,"1995 fire at Carl's Retreading, where AFFF was used","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-473719--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-473719--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-473719--,00.html",https://drive.google.com/drive/u/0/folders/1W3HxmaXUJLGBjICXqfH_fFFCRvb-p_96,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,133,-85.6798249,44.6625951
POINT (-84.6573325 43.2879594),Ithaca Sanitary Landfill,,Michigan,Landfill,Groundwater,Groundwater,2018.0,,,7300,,7300.0,Former landfill; potentially used by Wolverine Worldwide to dump tannery waste ,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-482361--,00.html",https://www.michigan.gov/pfasresponse/,N/A,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-482361--,00.html",https://drive.google.com/drive/u/0/folders/19KSXb7f41ke9F-VLGkVqG1BbcbrwN4DF,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,134,-84.6573325,43.2879594
POINT (-83.074303 42.311972),Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza),,Michigan,Industry,Groundwater,Groundwater,2018.0,,,710,,710.0,"This site is the future location of the Gordie Howe International Bridge U.S. Port of Entry, and encompasses approximately 190 acres of historical heavy industrial, commercial, and residential properties in southwest Detroit","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-493752--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_83952-512946--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-493752--,00.html",https://drive.google.com/drive/u/1/folders/10Qt5EjXya8IwkX0tb6cg6WwHtsBLRk1m?ths=true,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,135,-83.074303,42.311972
POINT (-83.354895 44.4676217),Van Etten Lake - Oscoda Area,,Michigan,Military,Groundwater,Groundwater,2018.0,108,556,,,556.0,AFFF used at former Wurtsmith Air Force Base (MPART 7.18.2019),N/A,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html",https://drive.google.com/drive/u/1/folders/1z2HzVi-wFZIVl8vyN21qoVFATOzRE1Vj,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,136,-83.354895,44.4676217
POINT (-83.3619095 44.4804773),Loud Drive - Oscoda Area,,Michigan,Military,Groundwater,Groundwater,2018.0,,,5,98.0,98.0,AFFF used at former Wurtsmith Air Force Base (MPART 7.18.2019),N/A,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html",N/A,https://drive.google.com/drive/u/1/folders/1CoGZW73tckH74OZE06jUDJAjmADnq-ql,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,137,-83.3619095,44.4804773
POINT (-83.4856913 44.4587227),Colbath Road - Oscoda Area,,Michigan,Unknown,Groundwater,Groundwater,2018.0,,,47,,47.0,Alleged use of AFFF to put out fires in the Colbath Road area. (MPART 7.18.2019),N/A,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html",https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=36c48f4a7d144c21a79291ba280cf50b,https://drive.google.com/drive/u/1/folders/1zvp8vSk5gjlNbMh_oBYzSIp_9sGt_pbf,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,138,-83.4856913,44.4587227
POINT (-83.3803637 44.4248028),Oscoda Area Schools,Pinecrest River and Roads,Michigan,AFFF,Groundwater,Groundwater,2018.0,,,99,,99.0,"A fire extinguished with AFFF at Oscoda Schools on October 18, 1995 (MPART 7.11.19)","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100_97106---,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html",https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=36c48f4a7d144c21a79291ba280cf50b,https://drive.google.com/drive/u/1/folders/15yKEV8JPDr0B7IyJUbZiNRtXK2nqETzy,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,139,-83.3803637,44.4248028
POINT (-83.4215424 44.5077656),McDonald Store Fire,F-41,Michigan,AFFF,Other Water,Surface Water,2018.0,,,10,,10.0,Release of AFFF (firefighting foam) to fight McDonald store fire in 1992. (MPART 7.11.19),N/A,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704_97100---,00.html",https://drive.google.com/file/d/1vAbU_4aBjnolVuzrwmVg0dCvGbCH_EG6/view?usp=sharing,https://drive.google.com/drive/u/1/folders/180WWaTe0OGzcmxgby2-6gBvc11WOH5xi,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,140,-83.4215424,44.5077656
POINT (-84.5858373 42.7442156),"RACER Lansing Plants 2, 3, 6",,Michigan,Industry,Groundwater,Groundwater,2018.0,,,70,,70.0,"Manufacturing activities at RACER Lansing Plants 2, 3, and 6. (MPART 7.18.19)","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452826--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452826--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-452826--,00.html",https://drive.google.com/drive/u/1/folders/1mSopRBr6TzGUi_occp-dvxuI-Sex1ipB,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,141,-84.5858373,42.7442156
POINT (-86.1571543 41.8407765),M-60 Tanker Spill,,Michigan,Unknown,Groundwater,Groundwater,2018.0,40000,1280000,1320000,,1320000.0,Brener Oil gasoline tanker spill at the intersection of State Highway M-60 and Pine Lake Street in Howard Township. The Howard Township Fire Department used AFFF to prevent fire and explosion hazards (MPART 6.20.19),"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-463155--,00.html",https://www.michigan.gov/pfasresponse/," https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-463155--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-463155--,00.html",https://drive.google.com/drive/u/1/folders/101Vm5T0Gg8VFTI_XB2fLZxOqQAI6Sirh,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,142,-86.1571543,41.8407765
POINT (-85.5073884 43.3357415),Central Sanitary Landfill,,Michigan,Landfill,Groundwater,Groundwater,2018.0,,,250,1062.0,1062.0,Wolverine Worldwide tannery waste disposed of at the Central Sanitary Landfill since mid 1980s (MPART 6.20.19),"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-468563--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-468563--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-468563--,00.html",https://drive.google.com/drive/u/1/folders/1TRMlHCnrc8nwI5CG2UyGsWAvBF_NVyod?ths=true,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,143,-85.5073884,43.3357415
POINT (-83.491881 43.133113),Richfield Landfill,,Michigan,Landfill,Groundwater,Groundwater,2012.0,,,201,888.0,888.0,PFAS-containing leachate from old fill portion of the Richfield Landfill. (MPART 5.9.19),N/A,https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-477577--,00.html",N/A,https://drive.google.com/drive/u/1/folders/1-NT5pBcjCa_FAVaikseRibRVEAc5Iq2U,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny,144,-83.491881,43.133113
